power,stongsubj,electricity
transformer,stongsubj,electricity
transformers,stongsubj,electricity
load,stongsubj,electricity
shedding,stongsubj,electricity
loadshedding,stongsubj,electricity
current,stongsubj,electricity
blackout,stongsubj,electricity
blackouts,stongsubj,electricity
grid,stongsubj,electricity
station,stongsubj,electricity
stationgrid,stongsubj,electricity
generator,stongsubj,electricity
generators,stongsubj,electricity
line,stongsubj,electricity
lamppost,stongsubj,electricity
voltage,stongsubj,electricity
voltages,stongsubj,electricity
spark,stongsubj,electricity
sparks,stongsubj,electricity
shortcircuit,stongsubj,electricity
electricity,stongsubj,electricity
outage,stongsubj,electricity
currents,stongsubj,electricity
cables,stongsubj,electricity
pothole ,stongsubj,roads
potholes,stongsubj,roads
broken,stongsubj,roads
manhole,stongsubj,roads
manholes,stongsubj,roads
earthquake,stongsubj,roads
earthquakes,stongsubj,roads
road,stongsubj,roads
roads,stongsubj,roads
sadak,stongsubj,roads
galli,stongsubj,roads
street,stongsubj,roads
lane,stongsubj,roads
lanes,stongsubj,roads
hole,stongsubj,roads
holes,stongsubj,roads
pit,stongsubj,roads
pits,stongsubj,roads
stone,stongsubj,roads
stones,stongsubj,roads
gravel,stongsubj,roads
puddle,stongsubj,roads
puddles,stongsubj,roads
concrete,stongsubj,roads
tar,stongsubj,roads
flood,stongsubj,water
floodwater,stongsubj,water
logging,stongsubj,water
pipe,stongsubj,water
pipes,stongsubj,water
drain,stongsubj,water
drains,stongsubj,water
sewage,stongsubj,water
septictank,stongsubj,water
pani,stongsubj,water
paani,stongsubj,water
drainage,stongsubj,water
leak,stongsubj,water
leaks,stongsubj,water
leaking,stongsubj,water
naali,stongsubj,water
naala,stongsubj,water
salt ,stongsubj,water
water,stongsubj,water
supply,stongsubj,water
leakage,stongsubj,water
well,stongsubj,water
handpump,stongsubj,water
handpumps,stongsubj,water
sunnydeol,stongsubj,water
block,stongsubj,traffic
jam,stongsubj,traffic
trafficpolice,stongsubj,traffic
trafficpulice,stongsubj,traffic
traffic,stongsubj,traffic
red,stongsubj,traffic
redlight,stongsubj,traffic
trafficjam,stongsubj,traffic
cars,stongsubj,traffic
car,stongsubj,traffic
carqueue,stongsubj,traffic
thulle,stongsubj,traffic
cooler,stongsubj,water
bubble,stongsubj,water
thirst,stongsubj,water
quench,stongsubj,water
drink,stongsubj,water
neer,stongsubj,water
pump,stongsubj,water
hydro,stongsubj,water
infected,stongsubj,water
gallon,stongsubj,water
sweetwater,stongsubj,water
bislery,stongsubj,water
distilled,stongsubj,water
aquaguard,stongsubj,water
tap,stongsubj,water
drinkingwater,stongsubj,water
drinking,stongsubj,water
light,strongsubj,electricty
lights,strongsubj,electricty# R-Complaint-Classifier
